Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2015-10-08,134.91563415527344,135.0818350427807,133.00429224815264,133.21204652761543,1000495
2015-10-09,137.74107360839844,137.7826269962284,135.6219776322065,136.28679379654506,1061574
2015-10-12,138.36436462402344,138.77987322649798,136.74388361043597,137.69954832400092,806163
2015-10-13,134.0015106201172,135.12338880441158,132.54723065989884,134.95717523613467,1196339
2015-10-14,132.33946228027344,134.4585582468837,130.51122734684415,132.4641097628861,891550
2015-10-15,133.29513549804688,133.9183983124336,129.63866539243722,132.83808624508148,904945
2015-10-16,131.84088134765625,133.79377695294716,130.67746227236609,133.79377695294716,714985
2015-10-19,132.0486297607422,133.3367089739039,130.92676413403976,131.79933474168587,579570
2015-10-20,131.5500030517578,133.7937465762912,131.00983435490735,133.12893039264435,683064
2015-10-21,131.3422393798828,132.50565810770283,130.80207072172036,132.33945724377327,703555
2015-10-22,137.2424774169922,137.82419956695074,130.095737526505,130.8436478902868,1104472
2015-10-23,141.81309509277344,142.39481733849493,137.9904231770346,138.9045345854359,1595903
2015-10-26,140.56655883789062,141.35603534758587,139.4446931899261,141.23137515537877,608005
2015-10-27,140.02638244628906,141.1898013232718,139.65242728442425,140.69119866755693,567237
2015-10-28,139.36155700683594,140.10947996140834,137.99038394392403,138.69674082954288,833020
2015-10-29,140.4834442138672,141.10670704296126,139.361566049372,140.56653831622424,536243
2015-10-30,140.9405059814453,140.98204669241446,138.48899537915997,140.44189064666853,643622
2015-11-02,139.52777099609375,141.2313586479391,139.27847600145085,139.4031234987723,590901
2015-11-03,141.065185546875,141.065185546875,139.19539663682806,139.77710620611248,567012
2015-11-04,143.5581817626953,144.05679701749833,140.60806897912153,141.27288509208802,782536
2015-11-05,144.1814422607422,144.84625836342482,142.3532074885993,143.64128630998832,944423
2015-11-06,140.234130859375,141.02359454148345,136.74386169404895,140.4418851273148,1521393
2015-11-09,139.02915954589844,140.64964031030885,138.61365100731555,140.5665335304666,613385
2015-11-10,139.94325256347656,140.31722034392632,137.86571014014518,140.23411357486802,704277
2015-11-11,142.85182189941406,144.01525334564846,140.23412333593535,140.48343098015084,654983
2015-11-12,138.73829650878906,143.18424288004593,138.32278797616,142.93493522440565,966262
2015-11-13,134.9571990966797,138.23972744577816,133.71067319610572,138.23972744577816,1034096
2015-11-16,133.08740234375,134.33392817031145,130.22039547872197,130.88521178895135,1143393
2015-11-17,137.45021057128906,137.90727247013217,134.08460177142962,134.62475776440834,876622
2015-11-18,135.9544219970703,136.78543921543795,135.24805228933127,136.4945781168827,561991
2015-11-19,134.9571990966797,137.6580052145899,134.37548954580862,137.11784906313474,601636
2015-11-20,134.83255004882812,135.91287501979738,134.04308619015262,135.91287501979738,791366
2015-11-23,134.5416717529297,135.08184050958272,133.1289451314721,135.04028711594552,529089
2015-11-24,128.76608276367188,133.41978307734936,126.73009363155543,133.04582796007298,1818521
2015-11-25,131.30068969726562,132.21481349513147,129.0984996573799,129.0984996573799,991402
2015-11-26,132.21484375,133.12895507672948,131.25916634621274,131.34227313969558,539785
2015-11-27,129.5971221923828,131.92397275178445,129.47247469183012,131.79932525123178,679415
2015-11-30,131.92398071289062,131.92398071289062,129.22317480853224,130.22039291407825,972761
